adult,militaryContract,coal,socialPercentile,furLeather,environmentPercentile,socialScore,esgPerformance,environmentScore,totalEsg,governanceScore,gmo,catholic,controversialWeapons,nuclear,animalTesting,peerCount,highestControversy,peerGroup,percentile,gambling,alcoholic,governancePercentile,pesticides,palmOil,tobacco,smallArms,Stock Ticker,Sector
False,False,False,,False,,9.26,AVG_PERF,5.59,20.16,5.31,False,False,False,False,False,46,2,Transportation,24.58,False,False,,False,False,False,False,UPS,Industrials,United Parcel Service
False,False,False,,False,,14.63,OUT_PERF,13.09,34.47,6.75,False,False,False,False,True,94,3,Food Products,75.81,False,False,,False,False,False,False,KHC,Consumer Staples,Kraft Heinz
False,False,False,,False,,6.03,UNDER_PERF,1.55,14.24,6.66,False,True,False,False,True,83,3,Pharmaceuticals,8.32,False,False,,False,False,False,False,TMO,Health Care,Thermo Fisher Scientific
False,False,False,,False,,4.97,UNDER_PERF,4.08,12.87,3.81,False,False,False,False,False,57,2,Retailing,5.57,False,False,,False,False,False,False,LKQ,Consumer Discretionary,LKQ Corporation
False,False,False,,False,,3.72,UNDER_PERF,3.17,12.83,5.94,False,False,False,False,False,55,0,Technology Hardware,5.51,False,False,,False,False,False,False,TRMB,Information Technology,Trimble
False,False,False,,False,,9.72,AVG_PERF,7.88,22.48,4.88,False,False,False,False,True,94,3,Food Products,32.62,False,False,,False,False,False,False,KO,Consumer Staples,Coca-Cola Company
False,False,False,,False,,12.92,OUT_PERF,10.28,30.89,7.69,False,False,False,False,False,37,4,Automobiles,64.42,False,False,,False,False,False,False,GM,Consumer Discretionary,General Motors
False,False,False,,False,,11.14,AVG_PERF,1.89,23.31,10.28,False,False,False,False,False,175,1,Banks,35.75,False,False,,False,False,False,False,KEY,Financials,KeyCorp
False,False,False,,False,,9.17,AVG_PERF,4.38,20.1,6.54,False,False,False,False,False,54,2,Machinery,24.31,False,False,,False,False,False,False,ITW,Industrials,Illinois Tool Works
False,False,False,,False,,14.04,AVG_PERF,0.03,22.08,8.01,False,False,False,False,True,83,2,Pharmaceuticals,31.13,False,False,,False,False,False,False,GILD,Health Care,Gilead Sciences
False,False,False,,False,,13.91,OUT_PERF,15.63,34.87,5.32,False,False,False,False,False,35,1,Industrial Conglomerates,76.86,False,False,,False,False,False,False,FTV,Industrials,Fortive
False,False,False,,False,,4.32,LAG_PERF,0.29,9.45,4.83,False,False,False,False,False,105,2,Software & Services,1.88,False,False,,False,False,False,False,ACN,Information Technology,Accenture
False,False,False,,False,,18.47,OUT_PERF,7.18,34.28,8.62,False,False,False,False,False,54,4,Machinery,75.25,False,False,,False,False,False,False,CAT,Industrials,Caterpillar
False,False,False,,False,,15.14,AVG_PERF,3.83,28.31,9.34,False,True,False,False,True,58,3,Healthcare,54.83,False,False,,False,False,False,False,BDX,Health Care,Becton Dickinson
False,False,False,,False,,6.61,UNDER_PERF,8.18,19.85,5.06,False,False,False,False,False,31,1,Semiconductors,23.47,False,False,,False,False,False,False,NXPI,Information Technology,NXP
False,False,False,,False,,10.77,UNDER_PERF,1.24,18.27,6.25,False,True,False,False,True,83,2,Pharmaceuticals,18.61,False,False,,False,False,False,False,PKI,Health Care,PerkinElmer
False,False,False,,False,,11.36,AVG_PERF,8.3,28.21,8.56,False,False,False,False,False,54,3,Machinery,54.44,False,False,,False,False,False,False,PCAR,Industrials,Paccar
False,False,False,,False,,8.89,UNDER_PERF,2.04,16.44,5.51,False,False,False,False,False,58,4,Healthcare,13.36,False,False,,False,False,False,False,MCK,Health Care,McKesson Corporation
False,True,False,,False,,15.04,LEAD_PERF,14.09,40.71,11.58,False,True,False,False,True,35,3,Industrial Conglomerates,88.57,False,False,,False,False,False,False,GE,Industrials,General Electric
False,False,False,,False,,15.62,AVG_PERF,0.14,22.69,6.92,False,True,False,False,False,58,2,Healthcare,33.39,False,False,,False,False,False,False,CNC,Health Care,Centene Corporation
False,False,False,,False,,17.12,AVG_PERF,0.11,23.51,6.28,False,False,False,False,False,32,1,Commercial Services,36.47,False,False,,False,False,False,False,IT,Information Technology,Gartner
False,False,False,,False,,3.44,UNDER_PERF,0.57,15.48,11.46,False,False,False,False,False,89,2,Diversified Financials,10.84,False,False,,False,False,False,False,L,Financials,Loews Corporation
False,False,False,,False,,13.7,AVG_PERF,9.12,29.4,6.59,False,False,False,False,False,54,1,Machinery,59.05,False,False,,False,False,False,False,PNR,Industrials,Pentair
False,False,False,,False,,7.26,UNDER_PERF,2.22,14.33,4.85,False,False,False,False,False,57,2,Retailing,8.48,False,False,,False,False,False,False,BBY,Consumer Discretionary,Best Buy
False,False,False,,False,,7.92,UNDER_PERF,0.08,11.97,3.98,False,False,False,False,False,57,1,Retailing,4.18,False,False,,False,False,False,False,KMX,Consumer Discretionary,CarMax
False,False,False,,False,,13.08,AVG_PERF,3.01,27.71,11.63,False,False,False,False,False,45,2,Consumer Services,52.62,True,False,,False,False,False,False,MGM,Consumer Discretionary,MGM Resorts International
False,False,False,,False,,8.28,UNDER_PERF,1.13,14.95,5.54,False,False,False,False,False,57,3,Retailing,9.6,False,False,,False,False,False,False,GPS,Consumer Discretionary,Gap
False,False,False,,False,,10.03,AVG_PERF,7.95,22.08,4.09,False,False,False,False,False,45,3,Consumer Services,31.11,False,False,,False,False,False,False,MAR,Consumer Discretionary,Marriott International
False,False,False,,False,,6.01,UNDER_PERF,3,14.32,5.32,False,False,False,False,False,46,1,Transportation,8.46,False,False,,False,False,False,False,JBHT,Industrials,J. B. Hunt
False,False,False,,False,,11.5,UNDER_PERF,0.11,18.7,7.1,False,False,False,False,False,89,1,Diversified Financials,19.89,False,False,,False,False,False,False,SYF,Financials,Synchrony Financial
False,False,False,,False,,3.18,UNDER_PERF,7.31,15.68,5.19,False,False,False,False,False,14,2,Building Products,11.44,False,False,,False,False,False,False,TT,Industrials,Trane Technologies
False,False,True,,False,,10.29,AVG_PERF,13.86,29.28,5.13,False,False,False,False,False,107,3,Utilities,58.63,False,False,,False,False,False,False,NI,Utilities,NiSource
False,False,False,,False,,18.01,AVG_PERF,0.74,27.29,8.53,False,True,False,False,True,83,4,Pharmaceuticals,50.91,False,False,,False,False,False,False,JNJ,Health Care,Johnson & Johnson
False,False,False,,False,,5.03,UNDER_PERF,2.36,12.14,4.74,False,False,False,False,False,35,2,Food Retailers,4.36,False,False,,False,False,False,False,SYY,Consumer Staples,Sysco
False,False,False,,False,,9.83,AVG_PERF,1.97,22.79,10.99,False,False,False,False,False,89,3,Diversified Financials,33.78,False,False,,False,False,False,False,BK,Financials,BNY Mellon
False,False,False,,False,,4.56,AVG_PERF,15.61,29.22,9.05,False,False,False,False,False,15,2,Construction Materials,58.45,False,False,,False,False,False,False,VMC,Materials,Vulcan Materials
False,False,False,,False,,7.23,OUT_PERF,18.74,30.84,4.88,False,False,False,False,False,39,3,Refiners & Pipelines,64.23,False,False,,False,False,False,False,VLO,Energy,Valero Energy
False,False,False,,False,,4.92,UNDER_PERF,0.76,12.14,6.46,False,False,False,False,False,55,2,Technology Hardware,4.37,False,False,,False,False,False,False,HPE,Information Technology,Hewlett Packard Enterprise
False,False,False,,False,,13.62,AVG_PERF,4.53,28.08,9.93,False,False,False,False,True,58,2,Healthcare,54.02,False,False,,False,False,False,False,ZBH,Health Care,Zimmer Biomet
False,False,False,,False,,10.54,OUT_PERF,19.19,37.86,8.14,False,False,False,False,True,66,3,Oil & Gas Producers,83.97,False,False,,False,False,False,False,XOM,Energy,ExxonMobil
False,False,False,,False,,10.81,AVG_PERF,0.48,22.89,11.59,False,False,False,False,False,105,4,Software & Services,34.27,False,False,,False,False,False,False,GOOGL,Communication Services,Alphabet (Class A)
False,False,False,,False,,12.14,AVG_PERF,9.43,25.22,3.65,False,False,False,False,False,46,2,Transportation,43.05,False,False,,False,False,False,False,UNP,Industrials,Union Pacific
False,False,False,,False,,4.51,UNDER_PERF,6.65,16.09,4.93,False,False,False,False,False,55,0,Technology Hardware,12.34,False,False,,False,False,False,False,TEL,Information Technology,TE Connectivity
False,False,False,,False,,12.72,UNDER_PERF,1.24,19.62,5.66,False,False,False,False,False,105,2,Software & Services,22.82,False,False,,False,False,False,False,PTC,Information Technology,PTC
False,False,False,,False,,8.51,AVG_PERF,1.88,24.24,13.85,False,False,False,False,False,97,1,Insurance,39.23,False,False,,False,False,False,False,CINF,Financials,Cincinnati Financial
False,False,False,,False,,9.32,AVG_PERF,5.29,20.45,5.84,False,False,False,False,False,46,2,Transportation,25.56,False,False,,False,False,False,False,FDX,Industrials,FedEx
False,False,False,,False,,3.29,LAG_PERF,2.4,9.14,3.45,False,False,False,False,False,55,0,Technology Hardware,1.74,False,False,,False,False,False,False,CDW,Information Technology,CDW
False,False,True,,False,,8.66,AVG_PERF,14.53,28.94,5.74,False,False,False,True,False,107,2,Utilities,57.23,False,False,,False,False,False,False,PEG,Utilities,Public Service Enterprise Group
False,False,False,,False,,7.43,UNDER_PERF,2.85,19.55,9.28,False,False,False,False,False,89,2,Diversified Financials,22.55,False,False,,False,False,False,False,CBOE,Financials,Cboe Global Markets
False,True,False,,False,,5.52,AVG_PERF,8.04,21.6,8.04,False,False,False,False,False,55,2,Technology Hardware,29.39,False,False,,False,False,False,False,APH,Information Technology,Amphenol
False,False,False,,False,,12.45,AVG_PERF,2.02,21.65,7.18,False,False,False,False,False,105,2,Software & Services,29.6,False,False,,False,False,False,False,BKNG,Consumer Discretionary,Booking Holdings
False,False,False,,False,,7.77,AVG_PERF,8.05,22.24,6.42,False,False,False,False,True,28,2,Household Products,31.66,False,False,,False,False,False,False,KMB,Consumer Staples,Kimberly-Clark
False,False,False,,False,,9.33,AVG_PERF,9.53,24.53,5.67,False,False,False,False,False,9,2,Homebuilders,40.38,False,False,,False,False,False,False,LEN,Consumer Discretionary,Lennar
False,False,False,,False,,8.65,UNDER_PERF,0.34,15.33,6.34,False,True,False,False,True,83,1,Pharmaceuticals,10.48,False,False,,False,False,False,False,A,Health Care,Agilent Technologies
False,False,False,,False,,13.15,AVG_PERF,2.27,22.17,6.76,False,False,False,False,False,68,3,Telecommunication Services,31.43,False,False,,False,False,False,False,T,Communication Services,AT&T
